Number,LEN,totweight,Shellweight,boatweight,boat+flesh,boat+dryflesh,Wet mass,DFM
1,29.8,2.1216,1.2116,3.9724,4.2361,4.0157,0.2637,0.0433
2,28.9,1.8212,1.1279,3.8474,4.0966,3.8867,0.2492,0.0393
3,26.6,1.139,0.6214,3.9163,4.0299,3.9364,0.1136,0.0201
4,29.6,2.0639,1.2146,4.0912,4.3255,4.1241,0.2343,0.0329
5,26.4,1.4145,0.7239,4.0894,4.2582,4.1173,0.1688,0.0279
6,26.9,1.3786,0.8024,3.9146,4.0499,3.9447,0.1353,0.0301
7,29.6,1.6386,0.9323,3.4961,3.6605,3.5258,0.1644,0.0297
8,28.3,1.391,0.7785,3.9735,4.1652,4.0018,0.1917,0.0283
9,27.3,1.4009,0.7631,3.9062,4.0458,3.9274,0.1396,0.0212
10,27.5,1.0313,0.5964,4.0828,4.1722,4.1005,0.0894,0.0177
11,25.6,0.9872,0.5929,4.0796,4.2,4.103,0.1204,0.0234
12,28.6,1.3792,0.8255,3.4967,3.6302,3.5243,0.1335,0.0276
13,26.9,1.2614,0.7213,3.8323,3.9333,3.8509,0.101,0.0186
14,26.4,1.8855,1.0599,3.9538,4.1402,3.9834,0.1864,0.0296
15,29.7,1.3732,0.7542,3.8528,3.9735,3.8743,0.1207,0.0215
16,26.4,1.5701,0.9816,3.9693,4.1307,3.9948,0.1614,0.0255
17,28.7,1.3537,0.8603,3.965,4.0699,3.9842,0.1049,0.0192
18,31,1.4719,0.9029,3.9032,4.0679,3.9346,0.1647,0.0314
19,26.6,1.2469,0.7448,3.4868,3.6045,3.5085,0.1177,0.0217
20,27.8,1.6396,0.9882,4.0782,4.2613,4.1191,0.1831,0.0409
21,26.3,1.6228,0.9071,3.8617,4.0423,3.8917,0.1806,0.03
22,28.5,1.1441,0.6089,3.9755,4.0965,3.9964,0.121,0.0209
23,27,1.4617,0.938,4.0978,4.2272,4.1182,0.1294,0.0204
24,27.5,1.6388,0.9042,3.923,4.0904,3.9534,0.1674,0.0304
25,27.2,1.5059,0.8258,4.0759,4.2016,4.0974,0.1257,0.0215
26,30.2,2.1477,1.318,3.8993,4.123,3.9429,0.2237,0.0436
27,24.6,0.854,0.4345,3.8449,3.9304,3.8602,0.0855,0.0153
28,28.9,1.8296,1.0327,3.9635,4.1058,3.9877,0.1423,0.0242
29,25.6,1.0799,0.6035,4.0865,4.2092,4.1104,0.1227,0.0239
30,25.5,1.104,0.5817,3.4917,3.6003,3.5214,0.1086,0.0297
31,28.6,2.422,1.4621,3.8639,4.0674,3.9026,0.2035,0.0387
32,29.3,1.5356,0.9844,3.9769,4.1257,4.0054,0.1488,0.0285
33,28.6,1.679,1.0502,3.9254,4.088,3.9531,0.1626,0.0277
34,29.5,1.7978,1.0074,4.0984,4.2414,4.1219,0.143,0.0235
35,31.1,1.8049,0.9991,3.8599,4.0373,3.8938,0.1774,0.0339
36,28,1.5456,0.9428,3.863,4.0396,3.8923,0.1766,0.0293
37,27.3,1.0306,0.5849,3.9716,4.091,3.9942,0.1194,0.0226
38,25.2,1.202,0.7468,3.4975,3.6095,3.5257,0.112,0.0282
39,26.5,1.1192,0.7142,3.9748,4.0676,3.992,-0.0756,0.0172
40,31.5,1.8555,1.1698,4.0933,4.2429,4.1213,0.1496,0.028
41,31.8,1.8093,0.969,1.4181,1.5626,1.4469,0.1445,0.0288
42,27.5,1.6504,0.9144,1.4111,1.5828,1.446,0.1717,0.0349
43,31.1,1.6756,0.9828,1.4152,1.5533,1.4402,0.1381,0.025
44,27.5,0.9014,0.5314,1.4115,1.4728,1.4264,0.0613,0.0149
45,25.8,0.974,0.6332,1.4093,1.5128,1.4322,0.1035,0.0229
46,26.3,1.2712,0.752,1.4217,1.5218,1.4462,0.1001,0.0245
47,30.9,1.6386,0.8792,1.4129,1.5376,1.4407,0.1247,0.0278
48,31.7,2.0011,1.0279,1.4098,1.5645,1.4441,0.1547,0.0343
49,25.4,1.0189,0.5332,1.4086,1.4904,1.4257,0.0818,0.0171
50,27.4,1.1401,0.6755,1.4136,1.4985,1.4307,0.0849,0.0171
